id,Identifier,Open_date,Account_status,Alternate_identifier,DVP_or_RVP,Last_activity,Account_open_method,Balance
82,-583,2008-08-08 18:10:55,Fir,4086,true,2009-05-27 20:13:33,c9Z,-7156.44
83,4375,1999-06-15 18:48:10,aCoJjx,2951,false,1974-09-19 15:46:04,6q7XnQcVOj,3552.4
84,2181,2029-01-27 13:39:45,eisxcl1,4587,true,2003-11-25 09:39:53,bqHRMEr,6512.85
85,-2175,2055-08-24 07:33:52,iuRSUQkNG,7984,false,2045-08-31 21:56:15,KQqF7lt,-8417.23
86,7763,2059-05-08 02:48:07,CmXVAOc,-1413,false,2068-04-27 23:39:05,BZQ,6203.62
87,-7744,1987-10-09 21:16:41,7XDtpgZP,8951,false,2048-11-28 05:03:57,yrM6uzqkg,8216.12
88,-9554,2034-03-07 21:33:50,oGXmcYv,-4471,true,2021-04-04 17:15:14,j805ek9qcH,-7412.31
89,5618,2017-08-28 04:03:55,PYuumdhh,9639,true,2068-08-11 15:52:47,SvnoicIrb7,-6453.89
90,3394,2007-11-09 14:43:55,flCODO,1019,false,2066-03-19 11:45:10,LH,7359.75
91,9445,2030-01-28 23:20:59,7ufy40iz,-7324,false,2066-02-11 07:36:53,GWv3eBa4,-2901.31
92,4448,2054-08-21 12:14:59,ln,-1681,true,1998-07-19 15:25:06,ATM,-7995.31
93,740,1996-10-14 05:10:45,zXf,-6324,true,2060-05-29 07:07:11,oDGgp48j,3193.35
94,-8260,1983-06-22 06:18:28,G,1976,true,1978-05-22 21:17:44,oVHRS,3732.5
95,8784,2068-04-22 22:32:31,eEE,-8207,false,1970-07-26 04:19:33,UoAxul1y,735.366
96,-2187,2009-03-24 17:11:03,sG9y,-2838,true,2057-02-01 17:56:20,GY,-1179.87
97,4792,2062-06-01 22:00:16,1wa0Yh,696,true,2059-04-28 05:46:40,M,-1607.51
98,5461,2048-12-31 16:18:39,hvUjLU,-1500,true,1995-08-30 00:37:25,ZP8h4,-8530.67
99,-9705,2064-04-19 20:46:23,dQnGVuhlh,-152,false,1989-05-21 12:27:53,10s2hG,3952.45
100,7138,1985-11-21 04:39:46,NPk1j6V,9538,true,2060-04-29 06:24:50,SwrnkIzs,2104.26
101,9808,2024-09-29 21:15:41,B5Zb,537,false,2030-02-03 03:43:23,AbmRUXOXV,0.737799
102,-4139,2051-02-03 16:37:58,3pi,-2879,true,1974-08-10 13:58:39,AvsDW,-1563.34
103,-1229,2030-03-28 08:33:26,TOnWro6Ue5,914,false,1991-07-01 06:13:37,V,-6877.01
104,7594,1996-05-19 15:08:58,ylY9tr,-8324,false,2030-07-09 15:59:47,LzpS,-5107.32
105,2592,2063-01-19 12:25:19,D,-7498,true,2005-09-20 23:53:15,da2T0,-196.094
106,-9090,2014-04-22 01:06:59,Dih,-3318,false,2016-01-15 05:21:41,u,2664.19
107,-2932,2012-07-24 19:00:22,9WcNFWRb,8663,true,2013-04-06 06:00:56,QyXbJ,2292.02
108,-2078,2016-01-12 06:39:19,XI,9542,true,2008-02-11 03:25:27,D7FVqU3,-145.548
109,-697,2031-04-23 12:25:25,WoZeY,1699,false,2006-04-07 19:46:40,eC3W8EVv,-3103.72
110,77,1996-06-03 13:32:13,qVt,2597,false,2066-12-23 21:46:45,J0bFo,-5888.08
111,-3635,2056-03-29 04:51:33,fXi,-6081,false,2043-12-12 06:15:52,DGS780TyJ,-1201.91
112,8648,2032-12-01 21:31:44,N5N,7369,true,2031-07-07 20:33:45,ksQySvbG,3658.14
113,406,2035-08-26 04:11:38,a,-6706,false,2058-05-03 09:23:18,Kq,6571.83
114,-8487,2007-03-01 22:55:52,5tCodGLazt,7809,true,2004-07-09 16:35:42,p,-8254.95
115,-2578,2004-05-28 13:00:04,6TQWgXX,-6953,true,2002-10-05 16:17:49,jeB,1896.94
116,7573,2019-01-18 03:29:04,BWG0St,3140,true,2033-03-18 00:32:54,JmRTx1N5,9628.21
117,2190,1986-06-18 20:07:40,pEb2Fjt,7502,true,1986-06-20 23:22:55,VEEDzIonX,-6918.42
118,7901,2007-10-10 01:06:24,r,1046,false,2023-11-27 00:41:55,Ng,8928.14
119,-9841,1994-02-08 22:08:30,W2yE5,-5950,true,2011-02-27 16:44:53,5kxwPEDA,-5370.74
120,-1463,2020-05-05 20:43:17,ZZV4WIr,-2127,false,2058-09-24 09:09:42,nQiCUE,823.987
121,1584,2015-07-06 06:44:37,K,5021,false,2035-12-27 10:13:25,5DnIgK,-2194.71
122,5196,2050-07-14 07:42:15,m5,-7420,false,2035-05-30 21:28:55,QMa2CeXS,9470.38
123,2108,2065-03-08 09:26:17,cWOjVNmOvR,-828,true,2018-05-22 19:29:31,WCxZy2wIm,670.639
124,7087,2046-03-15 00:17:53,fBdKNMvf5Q,8916,true,2055-08-29 05:37:40,o,9724.94
125,-9435,2056-06-29 18:21:48,RoidJCZbv,9073,false,1986-08-11 04:01:45,TXx,7256.78
126,-2949,2069-07-05 13:15:17,ti,-9168,true,1977-01-07 04:52:32,BDnIe,-2248.64
127,9418,1973-04-12 19:10:41,Xy,6877,false,1970-11-15 21:48:25,iJON4,-9162.45
128,-9012,2039-11-11 18:47:18,mXI,-6224,true,2048-02-28 02:08:13,cfdt2tI,3076.8
129,-1124,2013-10-04 13:58:53,9WGQ6EUn,-1668,false,2056-12-30 17:09:47,ktcyYStW,2783.7
130,4970,1999-08-28 09:09:11,eP1y6RPQ1,1461,true,2028-11-27 13:19:09,LXqIYEfkk,9084.01
131,6174,2050-01-05 19:40:48,mnneUiiJNI,-764,false,1986-12-05 11:41:42,f,-134.456
132,-7577,2031-10-14 01:33:24,fxE,9207,false,2014-08-23 08:32:44,OxECpffU,2446.25
133,-5366,2023-12-28 15:35:11,zyM5WAef,2989,true,1974-11-01 13:11:49,sO7O,2393.64
134,-977,1988-05-25 15:36:54,7H1bwznU,-6986,true,2033-12-30 18:43:36,7,-6881.99
135,-7026,1996-10-13 01:31:16,n6,-3703,false,2069-03-20 08:23:20,xq,6641.55
136,-7974,2054-05-31 05:38:05,LQDysQ,7080,false,1995-05-13 01:56:24,buMjB,9606.66
137,-5552,1976-09-28 13:08:25,QBNJUpzG,8921,false,2031-06-07 15:56:25,c04dK7yLX5,9968.27
138,-2207,2050-12-26 19:14:57,urZQVAv,4294,false,1980-04-22 21:15:57,cx7,-6975.44
139,-8950,1981-09-23 09:04:18,tmK4dqk,-3641,true,2066-09-15 21:25:14,RyHataGe09,7501.18
140,367,2005-07-03 21:58:15,NwgEdT,5355,false,1999-12-24 12:26:16,l1,-5583.63
141,229,2027-08-16 15:40:37,sxkNwkh,-7554,true,2006-04-01 06:17:59,H8iNjPEE,-5901.56
142,-4771,1986-04-16 17:33:47,A,3211,true,2069-01-02 11:20:57,Oq,-9113.47
143,3905,1975-05-02 09:25:32,BDj,3624,false,2043-01-16 02:40:56,OE9a6lw2,-5325.31
144,9284,1971-10-30 04:13:36,CwQWRRX,-6916,false,1974-01-27 03:21:01,f15p,-8723.11
145,6564,1974-02-19 02:51:50,N7rFbfPr1,8934,true,2045-01-10 09:03:51,hfC,488.682
146,-8536,2047-04-11 12:34:12,vPl9LZNH,1212,false,2057-07-23 05:05:59,gcB7S,-7435.38
147,9163,2006-08-11 11:19:26,YYYpj,-9301,false,1992-10-06 08:36:35,6lhe,-729.769
148,4664,1997-11-13 00:53:21,eBC6ia13U,-1592,false,2018-03-21 09:02:24,74paFjNfV,2674.03
149,5780,2008-05-01 12:23:20,eSbUKAeRx,4985,false,2035-01-21 09:55:10,z97QC6ldT2,3527.13
150,-5365,1987-04-09 19:19:09,Iniqotgq,-7944,true,2042-07-05 23:04:32,ug,-3979.84
151,3448,1973-07-22 10:20:38,2tDlYHk,-2356,true,2064-05-06 05:05:08,fCb2,2554.59
152,3108,2018-10-08 02:40:16,NmFW,-4485,true,1986-09-01 16:24:04,IZRY,-8406.66
153,-4597,2066-10-12 07:30:36,jVixSG7,2669,false,2035-05-25 14:58:09,VJZ,-8442.3
154,456,2068-06-13 10:19:11,axErK6h,-972,true,2044-05-06 22:49:56,fAWOe,-5382.31
155,9229,2013-06-28 00:33:59,JS5ooc,-1871,false,2003-12-20 17:44:35,u7CbA,-1433.35
156,-9900,2031-01-21 07:14:07,C97B,2229,true,2005-10-22 00:43:29,xbI0,4698.84
157,-1129,2009-07-17 10:34:39,Y3ynsHk,3527,true,1998-07-21 16:18:13,Ki6eCpocFQ,-1987.95
158,1461,2064-07-04 19:29:21,uIbIDrx,5498,false,2067-10-29 00:07:17,W,-9593.07
159,3821,1985-07-28 02:41:39,uxb,-2128,false,1977-06-28 09:05:31,Ow41C,2909.45
160,-5011,2040-08-03 18:59:52,rFF4elZQ,-2963,false,1995-02-21 16:53:07,OvIyHP,-4420.23
161,-1381,2064-06-01 17:43:03,w,-8679,false,1976-07-19 14:02:20,N6rJXxVB,-9404.34
162,-7065,2013-03-05 05:22:52,cFiRGxLxoC,-3956,false,1984-12-23 14:23:59,kcfkDKj,-4645.26
163,3579,2014-10-07 20:56:01,upDgStT2jt,4707,true,2059-04-16 22:50:50,pHdPj37pX,79.6603
164,8462,2019-03-14 16:33:42,N,1583,true,2048-06-27 04:53:21,Iwiw0Ig,5934.91
165,8599,1995-01-19 04:10:52,QKpwpK0R,8950,true,2040-10-20 20:23:02,WJxR8,-8659.03
166,-1840,2062-06-22 22:51:05,PHxDx,6503,false,2045-07-17 02:38:59,YGGA3DZnTh,188.172
167,7716,1983-01-19 03:30:23,xrzY,4850,false,2000-09-07 18:22:30,Y,-5004.95
168,6223,2003-11-17 03:34:31,nYQfgY,-410,false,1985-04-30 13:16:33,Kailo,-2455.21
169,3272,2052-09-04 16:05:18,M,9130,true,2037-07-02 06:47:46,9QHFUHjZLb,-8794.39
170,2750,2059-05-16 23:37:42,VfgXV1GO,-6380,false,2033-06-15 01:16:42,9RB,-4413.59
171,8317,2030-04-25 01:01:24,R2erO,4255,false,2054-02-05 22:38:51,rkQ3z,3079.86
172,-4432,1972-07-03 14:16:45,E8E,-6551,true,2044-11-24 05:23:31,CI6hf,-1470.14
173,-7683,2015-11-10 16:54:29,NZbBbnC10o,-948,true,2014-04-09 04:41:35,DFh,7254.82
174,2132,1977-09-24 02:39:37,BO,9145,false,1989-09-19 19:36:57,VgpF4nR8,-8445.43
175,4076,1970-06-10 23:57:00,gEc2A9Q,-3265,true,2037-07-04 02:45:40,1LW9sgU,-9932.45
176,1751,2018-04-12 10:32:27,kt,4584,false,2016-01-18 01:29:04,D,-7139.92
177,7154,1999-02-04 04:50:43,CczKbp7u,7749,false,2062-10-24 05:08:21,26od0ObssE,-6513.58
178,-6665,1974-03-02 22:17:00,MsYRJ,-1688,true,1994-05-05 11:03:14,K,8758.75
179,7238,2017-08-24 09:53:14,0B,936,false,2049-08-30 06:47:45,q5sRQ,8131.8
180,2739,2041-12-25 23:24:43,o,5949,true,2038-11-06 09:55:04,wlsm,1332.91
181,-9166,2001-12-21 18:56:50,Ap5rVl,-2334,false,2056-04-25 12:08:28,XA,-7090
182,-5381,2012-09-11 11:16:13,Z99yiz5,2931,true,2047-09-25 10:01:32,EMus,-2975.41
183,-3980,1978-05-26 00:03:36,su70m,-5437,true,2001-09-07 09:24:29,lpvGy4,-6385.42
184,3886,2020-06-01 17:34:25,SSf,9963,false,1977-04-28 12:36:36,fd,-6026.4
185,1395,2011-11-06 15:18:02,9VIcYsVBTD,-2813,true,1975-03-01 23:23:04,S7,1915.62
186,974,2047-07-03 12:36:41,bT3,-1570,true,2064-02-01 03:59:42,3g860oXhX,3743.77
187,1708,2005-01-26 09:22:28,R,-7409,true,2027-01-02 21:00:28,q0F6inho,-4455.6
188,-8078,2046-03-15 16:19:51,uWZc,4945,false,2062-06-28 11:04:24,298swKUJil,-417.214
189,6281,2037-08-20 09:53:20,G042,4756,false,1973-09-13 12:51:37,eQXv5w4,5920.92
190,-450,2065-07-26 17:08:18,lghO,4039,false,2041-04-24 13:26:16,u3,7194.03
191,-9617,1990-08-12 23:11:15,JpJTb,-1728,true,2044-11-22 10:01:42,5CUCEH,9743.66
192,1247,2042-11-01 09:17:08,3E,8505,true,2009-05-11 02:39:52,vlL,4389.12
193,1980,2058-07-24 04:06:17,WfnibWtCQ,6853,true,2067-08-22 06:53:48,GZu7x,3630.94
194,9889,2001-06-03 01:31:39,utcYSV,-6783,true,1983-05-19 17:00:26,CB,-5095.51
195,848,2045-03-12 23:43:13,F,7039,false,2050-08-07 21:46:08,4WT,-2768.09
196,5023,1984-09-10 21:03:43,kN85nXdP,9492,true,1974-01-11 05:36:47,5Qbu,-2057.07
197,2230,2040-12-16 10:17:20,X,3644,false,1975-07-10 17:43:50,Sn,7489.76
198,4523,2060-10-21 20:54:49,RWV,1121,false,2038-01-02 02:51:08,oYr,6345.54
199,4351,2058-02-09 23:48:47,EbveCIeKAB,7545,false,2002-01-30 10:05:13,7,-7203.7
