Customer,Country,Relationship_Type
98,427,gJV30WoSyp
104,206,kNUallI
143,421,DF
32,277,MzX
71,343,5FCQu
87,164,zXgZGhk
49,348,E
59,164,OCAxdl
85,342,tDiiIhzv
12,306,akACpPM9iY
76,428,AF
101,213,T
32,410,i87pZ9vPOX
141,148,Gz0wrwnIn
34,375,ZR0V
84,297,3S3i4JYDu
136,382,LcI3xt5T
47,331,RSF
91,431,D0FAy20mqs
84,212,QMIPziaW
32,450,2TRX06nW
64,185,dbaEfbJK
97,433,T0j59vLcby
57,242,9AvJBD
57,50,xxkkd
22,465,lFn
5,105,Wlxw
148,134,aKMw6r
43,101,4YRi6dHN6V
111,45,M
133,47,o7
102,12,FZ6
5,17,VKa
125,191,84t
74,262,WTC
32,430,4nQINxbt
80,330,Mb4sov
44,160,5x5n2nD
30,446,h6CqLq
119,205,aUyCGg
34,19,WIEs8jxCjp
15,228,sdjwX2JrfY
108,54,iO
6,397,RI
123,62,vvUXKh
10,455,Cwqr6
12,294,StCgY7
134,219,frSK
147,209,whX9tInfxx
123,481,a
47,14,aYc0iza
112,356,LCmlYEck
119,269,NaaVlvDE5Z
16,494,JtJP
113,243,NwmRe
137,328,1uhQxl
112,313,J
114,67,W9CsY
0,439,KR
53,49,vP
17,187,ppqLSb5ld
73,478,5Ts
35,1,uuNPPbljX7
88,498,GCdXJ
47,260,Ig
19,392,MBhEWPZoPn
78,100,6nenAoX6o
42,355,Y
42,297,Y1gq8N
118,22,rZU7HIk55
91,257,Nc
100,443,ciZ7zWOf
28,382,M5Nonp7X
44,488,n
96,152,4VxC
94,456,vYZcxGnu
91,181,WDhU8jOw2
13,223,AXA
81,74,IggJr
106,258,s
6,183,V969M9z
94,152,Nm
130,290,Pv3y
74,236,kyD7uwDHc
136,469,aF1AByH
2,237,rQ
103,282,UeB7L2
125,153,5MwS7gL
130,188,eLLhsovkN
146,20,suEyYJ
106,335,8BTSr
48,137,bcpoSzV
21,274,KqAcR3v5zF
106,197,iCktE
42,203,wgAk
39,298,ztFnC7DSke
135,226,h88KLiO
21,206,WpmJscs
76,33,wdwolzQd
46,448,sJc
28,111,Ky
148,317,tf
137,28,TLyjwWx9K
81,56,xe9ffy
24,354,ptaQiS
73,144,jtAB4
47,266,d39gqvc3
121,290,UjxLiLi
47,436,E
58,399,wwoB9tj
27,1,TYgrbs
19,311,VZV
89,49,cY
127,41,T
9,176,suJbsl
77,31,feH
147,72,1WxvI6xIZY
144,110,Gv42N
33,170,a
73,78,QtaTDDZOw
70,390,kbT1gV37Z
29,317,gLTXLbHjQ3
38,398,24riKab2
113,255,F1iZj1
20,434,OIcK
147,73,9mo9GAB
70,329,4GKv
92,330,5X
62,368,FeHdUY7
14,137,39taEKSXx
146,310,wu
142,335,I
137,183,qcTkd
62,279,FjRL2
71,163,sj28J2EM
118,49,VvNvX3Y
145,365,5h
46,28,flPVFM4xEw
119,418,e
88,262,V1bxh
4,380,ec
51,385,T5EqMlUwiJ
140,255,FSZDK
138,123,4zoHZn
13,60,nNaQRLXm
124,394,wz1jMYO
77,188,L5x9DK
0,238,TuUmt5VRNj
33,201,bru1olG
39,1,e
36,167,7Wqtiy
148,151,JT2UNdRt
1,184,4SwCwu29v
56,472,lyEJz
81,467,B
114,307,MKebD
104,279,Lp
95,188,BPX
7,192,SzCAzRq
135,18,K2J
43,467,6GA9W
105,194,sVE
63,413,hcgh
115,38,H2PQy
144,279,ksaH
56,296,Ier
36,429,wIU1M3zc
84,231,dvxzHEAkzr
109,74,0
147,204,94oATW5
71,444,Y29yfwEfO
36,183,je9cgXx
128,9,QEg9sYr
116,408,IVVax
6,3,5
4,475,lMz9TMJZ8Z
148,406,h772v
99,102,ITeQ
26,266,e
54,337,gk7
1,15,z
112,55,6
114,178,hzj43TWT
122,298,yMNnT
95,443,eV2q
67,247,aOohFYUa
122,447,sISuVAz
86,381,JuTHe1fO3
67,437,YdLoIOUoZ
84,454,70fnU1KqVz
91,198,atEiT
111,73,QZr
81,51,PKtT
102,473,m11
77,228,Df9e0W
141,171,tnm4cWwU
127,380,ZCTSidkKU
134,437,Wd9
119,13,M7liijRMmg
106,134,O0t9FH
96,329,ErzBA87vIt
29,430,9DoLSLige
128,376,AtR8AcTGg0
6,228,E
64,173,PIGpGZ3w
25,453,S
149,384,uanZjzTw
8,197,ox21L4Y
141,414,NeC5fLa
1,124,h7m
47,92,0ibQ
137,213,wU8wBgKAmn
9,150,HG
120,200,G
9,116,MKGpql
120,394,hH3CnOj
145,382,rrOwnyYcf
140,25,3vP3i9spvz
59,114,cB
81,94,95H
82,395,Ji9hD
94,482,C2OCM
94,272,2kE
124,299,DlYeVmC0QC
4,398,XbXj7
26,211,eaHY
29,486,rSDjM72B
77,437,tK
80,363,MsxAypcHkz
110,189,0kLTSLDXW
78,210,5Xw60nWp
54,398,8hK
71,195,yJSrrO
128,81,99N
73,437,NZ5A0
55,419,2GMI
37,415,jT2UiLb54
78,164,aY9ONeDU
19,236,qE3BFu8puC
93,398,ZU2KRbQ
92,86,9XF5bj
6,392,fQVnroqfrB
90,322,f
44,257,3eLzTGp2mP
121,297,wT33uU3
116,322,3CJByW
23,355,JvWC
121,56,U
79,80,XZ0W1
112,71,xac3LtjP
116,399,PSC
140,119,1RB
99,363,i
138,71,KtYK3U
86,134,yB
51,232,0zouDw
128,329,DHqR
59,359,XZ9mZH
126,417,Tg078wCD
87,368,zH
140,34,gQ
97,330,t
16,246,77U0eF
33,128,AHRmF
147,175,niSrlFw1L
91,89,W
50,446,BD0yedr5U
17,361,BWHugD1UZ
80,328,PzT
62,366,2WUEudSN
33,279,dUDXPY80H
71,301,ySPAcqYH
8,143,OYN4ix
40,362,KBY
110,27,vigkucl
67,182,Ppyu6qt
32,10,1T4aVwQk
136,372,YL4B
47,249,u
66,143,oujHlU
108,246,fJ
57,468,2x
115,267,DL6a
9,15,VAnsvM
76,316,aA7qc397n
24,357,8fiZo9
143,224,chvRdzJ7
15,180,i
86,374,F61ueVVd
43,498,nth8GwASZD
71,97,d1jyEWe0o
56,370,Dr8XZzK
77,154,9OBCPk
32,79,49L0HhP
115,130,Y3VJXH
40,421,ImL24
17,490,cAq
123,430,YS
109,163,7PM4Ril
39,122,4GTb
67,56,WhlhimL
99,108,Kg
140,194,AxV
74,408,r
72,230,4Y
58,179,Cacze
93,7,NshKFmbhVe
116,332,BQ2vT3
92,388,cNmJ
35,223,O
130,91,PPp
89,68,u
124,208,ZTOPNZv
62,316,hKJ93c
32,270,i2bwvK
50,268,s
78,71,rPfIWO
76,467,wfdE4N
71,83,ONH
110,66,PER
123,227,1
60,156,UZ
21,207,ZFyF
60,86,5dL
139,276,8
138,82,Qe
137,139,5chzSTv
113,376,GH
43,372,z4ZS
41,131,0XzQnlADUO
17,385,MpL5JST5xN
43,187,QTetJjGUf
132,426,hHvdT
78,175,MAvrqGu
140,300,Rhr
90,409,sH
85,164,ldFE2mstT
4,150,zO5El8kZ
45,261,Q5VL5
73,256,yyr1l
50,220,cTV
29,29,4BafTAW1O
4,184,5rtVYmp
116,274,VE
103,326,cO
86,411,GXTXx9qZ
36,326,Q
126,210,fL
24,449,3GHMh
125,47,J
139,497,gHBp
21,262,tzK
101,83,fTSvY6zG
84,281,i
96,145,xQ0W5V3jC
56,497,BDtUsb
120,480,1Ma4
56,211,VITeVJ
102,122,xzv89g6xyt
80,437,76MpMDXn
37,272,B1C7CpiA
120,116,jyDB
129,320,vG
100,481,S2S
83,29,ufB5n3J
79,101,k7LzGaB
42,484,vu
20,252,mHe3
21,359,dODtIk5S
